movid,id
1,304
2,445
3,94
4,183
5,262
6,276
7,438
8,490
9,89
10,398
11,422
12,234
13,271
14,358
15,497
16,438
17,49
18,291
19,406
20,375
21,22
22,270
23,468
24,455
25,413
26,187
27,446
28,288
29,424
30,83
31,147
32,358
33,497
34,83
35,49
36,413
37,271
38,438
39,224
40,319
41,147
42,308
43,224
44,282
45,498
46,427
47,22
48,307
49,406
50,48
51,356
52,158
53,314
54,468
55,354
56,438
57,64
58,254
59,206
60,456
61,468
62,33
63,362
64,317
65,457
66,469
67,449
68,282
69,24
70,465
71,22
72,21
73,177
74,421
75,394
76,87
77,422
78,219
79,434
80,362
81,226
82,466
83,90
84,291
85,338
86,324
87,98
88,271
89,105
90,412
91,489
92,288
93,394
94,352
96,409
97,76
98,103
99,318
100,278
101,324
102,187
103,402
104,264
105,31
